create,geo_tag_city_name,County_x,STATE,AQI_VALUE
2016-01-01,Livermore,ALAMEDA,California,41
2016-01-02,Livermore,ALAMEDA,California,53
2016-01-03,Livermore,ALAMEDA,California,72
2016-01-04,Livermore,ALAMEDA,California,61
2016-01-05,Livermore,ALAMEDA,California,21
2016-01-06,Livermore,ALAMEDA,California,17
2016-01-07,Livermore,ALAMEDA,California,40
2016-01-08,Livermore,ALAMEDA,California,44
2016-01-09,Livermore,ALAMEDA,California,40
2016-01-10,Livermore,ALAMEDA,California,44
2016-01-11,Livermore,ALAMEDA,California,52
2016-01-12,Livermore,ALAMEDA,California,55
2016-01-13,Livermore,ALAMEDA,California,26
2016-01-14,Livermore,ALAMEDA,California,25
2016-01-15,Livermore,ALAMEDA,California,27
2016-01-16,Livermore,ALAMEDA,California,29
2016-01-17,Livermore,ALAMEDA,California,22
2016-01-18,Livermore,ALAMEDA,California,25
2016-01-19,Livermore,ALAMEDA,California,27
2016-01-20,Livermore,ALAMEDA,California,25
2016-01-21,Livermore,ALAMEDA,California,32
2016-01-22,Livermore,ALAMEDA,California,14
2016-01-23,Livermore,ALAMEDA,California,25
2016-01-24,Livermore,ALAMEDA,California,22
2016-01-25,Livermore,ALAMEDA,California,28
2016-01-26,Livermore,ALAMEDA,California,38
2016-01-27,Livermore,ALAMEDA,California,47
2016-01-28,Livermore,ALAMEDA,California,41
2016-01-29,Livermore,ALAMEDA,California,25
2016-01-30,Livermore,ALAMEDA,California,19
2016-01-31,Livermore,ALAMEDA,California,18
2016-02-01,Livermore,ALAMEDA,California,20
2016-02-02,Livermore,ALAMEDA,California,27
2016-02-03,Livermore,ALAMEDA,California,46
2016-02-04,Livermore,ALAMEDA,California,42
2016-02-05,Livermore,ALAMEDA,California,54
2016-02-06,Livermore,ALAMEDA,California,55
2016-02-07,Livermore,ALAMEDA,California,30
2016-02-08,Livermore,ALAMEDA,California,33
2016-02-09,Livermore,ALAMEDA,California,58
2016-02-10,Livermore,ALAMEDA,California,55
2016-02-11,Livermore,ALAMEDA,California,51
2016-02-12,Livermore,ALAMEDA,California,57
2016-02-13,Livermore,ALAMEDA,California,33
2016-02-14,Livermore,ALAMEDA,California,31
2016-02-15,Livermore,ALAMEDA,California,15
2016-02-16,Livermore,ALAMEDA,California,52
2016-02-17,Livermore,ALAMEDA,California,32
2016-02-18,Livermore,ALAMEDA,California,19
2016-02-19,Livermore,ALAMEDA,California,20
2016-02-20,Livermore,ALAMEDA,California,31
2016-02-21,Livermore,ALAMEDA,California,26
2016-02-22,Livermore,ALAMEDA,California,22
2016-02-23,Livermore,ALAMEDA,California,18
2016-02-24,Livermore,ALAMEDA,California,50
2016-02-25,Livermore,ALAMEDA,California,55
2016-02-26,Livermore,ALAMEDA,California,44
2016-02-27,Livermore,ALAMEDA,California,23
2016-02-28,Livermore,ALAMEDA,California,32
2016-02-29,Livermore,ALAMEDA,California,18
2016-03-01,Livermore,ALAMEDA,California,20
2016-03-02,Livermore,ALAMEDA,California,19
2016-03-03,Livermore,ALAMEDA,California,18
2016-03-04,Livermore,ALAMEDA,California,20
2016-03-05,Livermore,ALAMEDA,California,8
2016-03-06,Livermore,ALAMEDA,California,22
2016-03-07,Livermore,ALAMEDA,California,17
2016-03-08,Livermore,ALAMEDA,California,21
2016-03-09,Livermore,ALAMEDA,California,14
2016-03-10,Livermore,ALAMEDA,California,23
2016-03-11,Livermore,ALAMEDA,California,17
2016-03-12,Livermore,ALAMEDA,California,16
2016-03-13,Livermore,ALAMEDA,California,15
2016-03-14,Livermore,ALAMEDA,California,25
2016-03-15,Livermore,ALAMEDA,California,18
2016-03-16,Livermore,ALAMEDA,California,19
2016-03-17,Livermore,ALAMEDA,California,24
2016-03-18,Livermore,ALAMEDA,California,29
2016-03-19,Livermore,ALAMEDA,California,22
2016-03-20,Livermore,ALAMEDA,California,10
2016-03-21,Livermore,ALAMEDA,California,22
2016-03-22,Livermore,ALAMEDA,California,20
2016-03-23,Livermore,ALAMEDA,California,15
2016-03-24,Livermore,ALAMEDA,California,24
2016-03-25,Livermore,ALAMEDA,California,31
2016-03-26,Livermore,ALAMEDA,California,27
2016-03-27,Livermore,ALAMEDA,California,21
2016-03-28,Livermore,ALAMEDA,California,18
2016-03-29,Livermore,ALAMEDA,California,15
2016-03-30,Livermore,ALAMEDA,California,29
2016-03-31,Livermore,ALAMEDA,California,27
2016-04-01,Livermore,ALAMEDA,California,28
2016-04-02,Livermore,ALAMEDA,California,33
2016-04-03,Livermore,ALAMEDA,California,35
2016-04-04,Livermore,ALAMEDA,California,20
2016-04-05,Livermore,ALAMEDA,California,23
2016-04-06,Livermore,ALAMEDA,California,27
2016-04-07,Livermore,ALAMEDA,California,36
2016-04-08,Livermore,ALAMEDA,California,34
2016-04-09,Livermore,ALAMEDA,California,17
