City,Zip Code,Walk Score,Bike Score,Unnamed: 4
West Hollywood,,91,54,
San Francisco,94112.0,86,71,
Hermosa Beach,90254.0,84,46,
Santa Monica,90405.0,83,84,
Berkeley,94704.0,81,85,
Albany,94706.0,80,46,
Huntington Park,,80,58,
Beverly Hills,90212.0,78,54,
Maywood,90270.0,77,63,
Lawndale,,76,59,
Artesia,90701.0,75,46,
Bell,,74,62,
Redondo Beach,90278.0,74,62,
Gardena,90249.0,74,55,
Culver City,90232.0,73,69,
San Fernando,,73,56,
Florence-Graham,,73,53,
East Los Angeles,90022.0,73,50,
Oakland,94601.0,72,65,
Lennox,,72,56,
Long Beach,90805.0,70,61,
Manhattan Beach,90266.0,70,50,
El Segundo,90245.0,69,46,
Lomita,90717.0,69,46,
Burbank,91505.0,69,59,
Hawthorne,90250.0,69,55,
South Gate,90280.0,69,55,
Inglewood,90301.0,69,50,
San Gabriel,91776.0,69,49,
Alhambra,91801.0,69,47,
Glendale,91205.0,69,46,
Bell Gardens,,68,58,
Los Angeles(the largest city in California),90011.0,67,55,
San Pablo,,67,49,
Pasadena,91104.0,66,66,
Santa Ana,92704.0,66,58,
Burlingame,,66,56,
Alameda,94501.0,65,73,
Lynwood,90262.0,65,53,
South Pasadena,91030.0,65,45,
South El Monte,,64,46,
Watsonville,95019.0,64,69,
San Mateo,94403.0,64,61,
Imperial Beach,91932.0,64,53,
Torrance,90503.0,64,52,
Montebello,90640.0,64,48,
Santa Cruz,95064.0,63,84,
Eureka,,63,66,
Cudahy,,63,61,
Compton,,63,58,
Paramount,90723.0,63,56,
Daly City,94015.0,63,33,
Costa Mesa,92627.0,62,64,
El Cerrito,94530.0,62,63,
Santa Barbara,93101.0,62,59,
Bellflower,90706.0,62,57,
San Leandro,94577.0,62,55,
Stanton,90680.0,61,56,
Westminster,92683.0,61,55,
Garden Grove,92840.0,61,54,
Westmont,,61,51,
Rosemead,,61,48,
Whittier,90602.0,61,47,
La Habra,,61,46,
National City,91950.0,61,39,
Monterey Park,91754.0,61,35,
El Monte,91732.0,60,54,
Monrovia,91016.0,60,47,
Isla Vista,,59,92,
Santa Clara,95051.0,59,72,
Redwood City,94061.0,59,63,
Downey,90242.0,59,52,
Ashland,,59,48,
South San Francisco,94080.0,59,40,
Palo Alto,94306.0,58,87,
Mountain View,94040.0,58,86,
Norwalk,90650.0,58,50,
Willowbrook,,58,48,
Fountain Valley,92708.0,57,61,
Lodi,,57,53,
Coronado,92118.0,56,46,
Pico Rivera,90660.0,56,56,
West Whittier-Los Nietos,,56,54,
Richmond,94804.0,56,50,
Covina,91723.0,56,47,
Santa Paula,,56,45,
El Cajon,92020.0,56,42,
La Mesa,91942.0,56,32,
Sunnyvale,94087.0,55,71,
Campbell,95008.0,55,68,
East Palo Alto,,55,66,
Huntington Beach,92647.0,55,65,
Port Hueneme,,55,58,
Azusa,,55,48,
Temple City,91780.0,55,47,
Calexico,,55,45,
West Carson,,55,44,
Menlo Park,94025.0,54,73,
Buena Park,90620.0,54,57,
Cerritos,90703.0,54,54,
