PLACE,COUNTY,POPULATION,POPULATION DENSITY,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME
Los Angeles,Los Angeles,"3,862,210","8,240.80","$28,320 ","$49,682 ","$54,171 "
San Diego,San Diego,"1,341,510","4,125.30","$33,789 ","$65,753 ","$78,414 "
San Jose,Santa Clara,"986,320","5,586.00","$34,992 ","$83,787 ","$92,379 "
San Francisco,San Francisco,"829,072","17,680.10","$49,986 ","$78,378 ","$93,391 "
Fresno,Fresno,"506,132","4,470.20","$19,226 ","$41,455 ","$45,554 "
Sacramento,Sacramento,"476,075","4,861.70","$26,060 ","$50,013 ","$57,200 "
Long Beach,Los Angeles,"468,594","9,315.80","$27,014 ","$52,944 ","$59,710 "
Oakland,Alameda,"402,339","7,198.40","$32,566 ","$52,962 ","$60,472 "
Bakersfield,Kern,"358,700","2,414.70","$23,786 ","$56,842 ","$61,994 "
Anaheim,Orange,"342,973","6,862.60","$23,990 ","$59,707 ","$63,281 "
Santa Ana,Orange,"331,266","12,203.10","$16,345 ","$52,519 ","$50,505 "
Riverside,Riverside,"313,041","3,856.20","$22,212 ","$56,089 ","$63,418 "
Stockton,San Joaquin,"297,223","4,819.80","$19,927 ","$45,347 ","$50,166 "
Chula Vista,San Diego,"253,031","5,098.20","$25,385 ","$66,110 ","$74,703 "
Irvine,Orange,"229,850","3,505.40","$43,456 ","$91,999 ","$109,956 "
Fremont,Alameda,"221,654","2,861.30","$40,815 ","$103,591 ","$112,347 "
San Bernardino,San Bernardino,"213,044","3,463.70","$14,759 ","$38,774 ","$40,305 "
Modesto,Stanislaus,"205,984","4,619.80","$23,034 ","$47,607 ","$55,289 "
Oxnard,Ventura,"201,744","7,499.50","$20,651 ","$62,349 ","$62,165 "
Fontana,San Bernardino,"201,355","4,745.60","$19,685 ","$64,995 ","$66,795 "
Moreno Valley,Riverside,"198,872","3,878.50","$17,874 ","$54,229 ","$55,265 "
Huntington Beach,Orange,"195,686","7,265.40","$42,680 ","$82,554 ","$97,638 "
Glendale,Los Angeles,"195,380","6,417.70","$29,264 ","$52,451 ","$61,806 "
Santa Clarita,Los Angeles,"179,030","3,395.20","$33,879 ","$83,178 ","$90,819 "
Garden Grove,Orange,"173,853","9,681.60","$21,241 ","$59,360 ","$62,562 "
Oceanside,San Diego,"171,400","4,155.00","$27,009 ","$58,385 ","$68,203 "
Santa Rosa,Sonoma,"170,782","4,136.00","$29,890 ","$60,758 ","$69,921 "
Rancho Cucamonga,San Bernardino,"170,170","4,268.80","$31,528 ","$77,061 ","$88,529 "
Ontario,San Bernardino,"166,892","3,342.30","$18,601 ","$54,156 ","$56,017 "
Lancaster,Los Angeles,"159,092","1,687.10","$19,703 ","$49,057 ","$54,993 "
Elk Grove,Sacramento,"158,455","3,755.50","$29,695 ","$79,051 ","$84,732 "
Corona,Riverside,"157,395","4,052.80","$27,577 ","$77,021 ","$82,607 "
Palmdale,Los Angeles,"155,810","1,470.40","$19,438 ","$54,921 ","$56,351 "
Salinas,Monterey,"154,077","6,525.90","$17,810 ","$49,728 ","$51,426 "
Pomona,Los Angeles,"151,142","6,585.10","$17,041 ","$48,993 ","$50,475 "
Hayward,Alameda,"149,596","3,293.60","$25,770 ","$62,691 ","$69,415 "
Escondido,San Diego,"147,603","3,982.90","$21,684 ","$49,409 ","$53,983 "
Torrance,Los Angeles,"147,181","7,187.30","$36,876 ","$78,286 ","$94,077 "
Sunnyvale,Santa Clara,"145,921","6,637.90","$48,203 ","$103,257 ","$117,982 "
Pasadena,Los Angeles,"139,065","6,050.80","$41,268 ","$70,845 ","$88,600 "
Orange,Orange,"138,980","5,480.70","$31,330 ","$77,086 ","$85,123 "
Fullerton,Orange,"137,945","6,149.20","$29,733 ","$65,909 ","$76,187 "
Thousand Oaks,Ventura,"128,126","2,321.80","$46,231 ","$99,115 ","$116,599 "
East Los Angeles,Los Angeles,"127,610","17,128.90","$12,905 ","$39,103 ","$41,577 "
Visalia,Tulare,"126,942","3,407.10","$22,885 ","$52,262 ","$56,766 "
Simi Valley,Ventura,"125,699","3,030.60","$37,279 ","$89,595 ","$98,394 "
Concord,Contra Costa,"125,017","4,093.00","$31,404 ","$67,122 ","$78,218 "
Roseville,Placer,"124,250","2,943.50","$34,514 ","$76,712 ","$94,461 "
Victorville,San Bernardino,"119,603","1,631.00","$15,873 ","$47,142 ","$50,608 "
Santa Clara,Santa Clara,"119,525","6,492.70","$41,222 ","$93,840 ","$109,672 "
Vallejo,Solano,"118,078","3,849.80","$25,945 ","$58,472 ","$67,543 "
Berkeley,Alameda,"115,688","11,053.70","$42,406 ","$65,283 ","$114,720 "
El Monte,Los Angeles,"115,243","12,052.20","$15,010 ","$38,906 ","$40,727 "
Downey,Los Angeles,"113,082","9,113.60","$23,216 ","$60,374 ","$64,187 "
Costa Mesa,Orange,"111,635","7,110.50","$33,342 ","$66,491 ","$76,781 "
Inglewood,Los Angeles,"111,133","12,255.50","$19,837 ","$42,249 ","$46,449 "
Carlsbad,San Diego,"109,296","2,897.00","$44,305 ","$87,416 ","$106,924 "
San Buenaventura (Ventura),Ventura,"108,449","4,971.10","$33,180 ","$66,485 ","$81,446 "
